name,price,bairro
Casa Padrão,"550.000,00",Bairro: Vila Becker
Apartamento Padrão,"398.000,00",Bairro: Jardim Gisela
Apartamento Padrão,"448.000,00",Bairro: Jardim Gisela
Comercial Barracão,"500.000,00",Bairro: Bom Principio (Distrito de Toledo)
Terreno Lote Urbano,"1.798.000,00",Bairro: Jardim Gisela
Apartamento Padrão,"895.000,00",Bairro: Centro
Casa Sobrado,"1.100.000,00",Bairro: Jardim Pancera
Terreno Lote Urbano,"579.000,00",Bairro: Vila Industrial
Apartamento Padrão,"1.200.000,00",Bairro: Centro
Casa Padrão,"920.000,00",Bairro: Jardim Gisela
Apartamento Padrão,"490.000,00",Bairro: Jardim Gisela
Casa Padrão,"430.000,00",Bairro: Jardim São Francisco
Terreno Lote Urbano,"800.000,00",Bairro: Vila Industrial
Apartamento Padrão,"390.000,00",Bairro: Vila Industrial
Comercial Barracão,"20.000,00",Bairro: Jardim Santa Maria
Casa Padrão,"1.350.000,00",Bairro: Jardim Porto Alegre
Rural Chácara sem Casa,"550.000,00",Bairro: Jardim Independencia
Casa Padrão,"350.000,00",Bairro: Jardim Europa
Terreno Lote Urbano,"240.000,00",Bairro: Vila Pioneiro
Apartamento Padrão,"386.000,00",Bairro: Jardim Tocantins
Rural Chácara sem Casa,Consulte-nos,Bairro: Zona Rural
Casa Sobrado,"1.180.000,00",Bairro: Jardim Tocantins
Casa Sobrado,"1.180.000,00",Bairro: Jardim Tocantins
Casa Padrão,"350.000,00",Bairro: São Luiz do Oeste (Distrito de Tole
Casa Padrão,"300.000,00",Bairro: São Luiz do Oeste (Distrito de Tole
Apartamento Padrão,"2.700.000,00",Bairro: Centro
Terreno Lote Urbano,"440.000,00",Bairro: Jardim Concórdia
Casa Padrão,"3.500.000,00",Bairro: Vila Industrial
Casa Padrão,"790.000,00",Bairro: Concórdia do Oeste
Terreno Lote Urbano,"940.000,00",Bairro: Centro
Rural Chácara com Casa,"980.000,00",Bairro: Jardim Pancera
Terreno Lote Urbano,"1.200.000,00",Bairro: Jardim La Salle
Terreno Lote Urbano,"4.392.000,00",Bairro: Vila Industrial
Casa Sobrado,"1.650.000,00",Bairro: Jardim La Salle
Terreno Lote Urbano,"3.500.000,00",Bairro: Jardim Tocantins
Casa Padrão,"1.100.000,00",Bairro: Centro
Casa Padrão,"220.000,00",Bairro: Jardim São Francisco
Casa Padrão,"220.000,00",Bairro: Jardim São Francisco
Casa Padrão,"360.000,00",Bairro: Jardim São Francisco
Casa Sobrado,"1.050.000,00",Bairro: Vila Industrial
Terreno Lote Urbano,"500.000,00",Bairro: Vila Becker
Casa Padrão,"265.000,00",Bairro: Jardim Coopagro
Casa Padrão,"250.000,00",Bairro: Jardim São Francisco
Casa Sobrado,"1.500.000,00",Bairro: Vila Becker
Terreno Lote Urbano,"2.600.000,00",Bairro: Jardim Gisela
Casa Padrão,"625.000,00",Bairro: Jardim Pancera
Terreno Lote Urbano,"340.000,00",Bairro: Centro
Terreno Lote Urbano,"1.936.000,00",Bairro: Jardim Coopagro
Terreno Lote Urbano,Consulte-nos,Bairro: Jardim Concórdia
Casa Padrão,"650.000,00",Bairro: Vila Becker
Casa Padrão,"650.000,00",Bairro: Vila Becker
Apartamento Padrão,"330.000,00",Bairro: Jardim Pancera
Apartamento Padrão,"345.000,00",Bairro: Jardim Pancera
Comercial Sala Comercial,"990.000,00",Bairro: Vila Operaria/Boa Esperanca
Casa Sobrado,"240.000,00",Bairro: Jardim São Francisco
Casa Sobrado,"230.000,00",Bairro: Jardim São Francisco
Casa Sobrado,"230.000,00",Bairro: Jardim São Francisco
Casa Sobrado,"230.000,00",Bairro: Jardim São Francisco
Casa Padrão,"600.000,00",Bairro: Centro
Terreno Lote Urbano,"1.200.000,00",Bairro: Jardim La Salle
Apartamento Padrão,"220.000,00",Bairro: Jardim Coopagro
Casa Padrão,"360.000,00",Bairro: Vila Pioneiro
Terreno Lote Urbano,"900.000,00",Bairro: Jardim Panorama
Casa Sobrado,"3.300.000,00",Bairro: Jardim Tocantins
Casa Padrão,"250.000,00",Bairro: Jardim Europa/America
Casa Padrão,"280.000,00",Bairro: Jardim Europa/America
Casa Padrão,"315.000,00",Bairro: Jardim Coopagro
Casa Padrão,"315.000,00",Bairro: Jardim Coopagro
Comercial Sala Comercial,"
															2.250,00														",Bairro: Centro
Casa Padrão,"985.000,00",Bairro: Jardim Pancera
Casa Padrão,"250.000,00",Bairro: Centro
Casa Padrão,"550.000,00",Bairro: Jardim Panorama
Casa Padrão,"480.000,00",Bairro: Jardim Panorama
Rural Chácara sem Casa,"5.880.000,00",Bairro: Jardim Tocantins
Casa Sobrado,"799.000,00",Bairro: Jardim Pancera
Apartamento Padrão,"339.000,00",Bairro: Jardim Coopagro
Casa Padrão,"280.000,00",Bairro: Jardim Coopagro
Casa Padrão,"280.000,00",Bairro: Jardim São Francisco
Casa Padrão,"200.000,00",Bairro: Jardim Coopagro
Casa Padrão,"675.000,00",Bairro: Jardim Tocantins
Casa Padrão,"695.000,00",Bairro: Jardim Tocantins
Comercial Sala Comerc...,"380.000,00",Bairro: Centro
Rural Chácara sem Casa,"1.540.000,00",Bairro: Jardim Independencia
Terreno Lote Urbano,"1.500.000,00",Bairro: Centro
Apartamento Duplex,"
															3.900,00														",Bairro: Centro
Comercial Sala Comercial,"
															6.500,00														",Bairro: Jardim Coopagro
